,actors,average,country,director,genre,language,link,release_date,runtime,title,votes,writer
0,"['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒', '克兰西·布朗', '吉尔·贝罗斯', '马克·罗斯顿', '詹姆斯·惠特摩', '杰弗里·德曼', '拉里·布兰登伯格', '尼尔·吉恩托利', '布赖恩·利比', '大卫·普罗瓦尔', '约瑟夫·劳格诺', '祖德·塞克利拉', '保罗·麦克兰尼', '芮妮·布莱恩', '阿方索·弗里曼', 'V·J·福斯特', '弗兰克·梅德拉诺', '马克·迈尔斯', '尼尔·萨默斯', '耐德·巴拉米', '布赖恩·戴拉特', '唐·麦克马纳斯']",9.7, 美国,弗兰克·德拉邦特,"['剧情', '犯罪']", 英语,https://movie.douban.com/subject/1292052/,1994-09-10(多伦多电影节),142分钟,肖申克的救赎 The Shawshank Redemption,2083437,"['弗兰克·德拉邦特', '斯蒂芬·金']"
1,"['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯', '邦尼·亨特', '唐·雷克', '汤米·钟', 'J·K·西蒙斯', '奥克塔维亚·斯宾瑟', '艾伦·图代克', '夏奇拉', '雷蒙德·S·佩尔西', '德拉·萨巴', '莫里斯·拉马奇', '菲尔·约翰斯顿', '约翰·迪·马吉欧', '凯蒂·洛斯', '吉塔·雷迪', '杰西·科尔蒂', '汤米·利斯特', '乔希·达拉斯', '瑞奇·摩尔', '凯斯·索西', '彼得·曼斯布里奇', '拜伦·霍华德', '杰拉德·布什', '马克·史密斯', '乔西·特立尼达', '约翰·拉维尔', '克里斯汀·贝尔', '吉尔·科德斯', '梅利莎·古德温']",9.2, 美国,拜伦·霍华德,"['喜剧', '动画', '冒险']", 英语 / 挪威语,https://movie.douban.com/subject/25662329/,2016-03-04(中国大陆/美国),109分钟(中国大陆),疯狂动物城 Zootopia,1321807,"['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什', '吉姆·里尔顿', '乔西·特立尼达', '菲尔·约翰斯顿', '珍妮弗·李']"
2,"['汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯', '麦凯尔泰·威廉逊', '莎莉·菲尔德', '海利·乔·奥斯蒙', '迈克尔·康纳·亨弗里斯', '哈罗德·G·赫瑟姆', '山姆·安德森', '伊俄涅·M·特雷奇', '彼得·道博森', '希芳·法隆', '伊丽莎白·汉克斯', '汉娜·豪尔', '克里斯托弗·琼斯', '罗布·兰德里', '杰森·麦克奎尔', '桑尼·施罗耶', '艾德·戴维斯', '丹尼尔C.斯瑞派克', '大卫·布里斯宾', '德博拉·麦克蒂尔', '艾尔·哈林顿', '阿非莫·奥米拉', '约翰·沃德斯塔德', '迈克尔·伯吉斯', '埃里克·安德伍德', '拜伦·明斯', '斯蒂芬·布吉格沃特', '约翰·威廉·高尔特', '希拉里·沙普兰', '伊莎贝尔·罗斯', '理查德·达历山德罗', '迪克·史迪威', '迈克尔-杰斯', '杰弗里·布莱克', '瓦妮莎·罗斯', '迪克·卡维特', '马拉·苏查雷特扎', '乔·阿拉斯奇', 'W·本森·泰瑞']",9.5, 美国,罗伯特·泽米吉斯,"['剧情', '爱情']", 英语,https://movie.douban.com/subject/1292720/,1994-06-23(洛杉矶首映),142分钟,阿甘正传 Forrest Gump,1573820,"['艾瑞克·罗斯', '温斯顿·格鲁姆']"
3,"['徐峥', '王传君', '周一围', '谭卓', '章宇', '杨新鸣', '王佳佳', '王砚辉', '贾晨飞', '龚蓓苾', '宁浩', '李乃文', '岳小军', '苇青', '富冠铭', '巴拉特·巴蒂', '喜利图', '张海艳', '朱耕佑']",9, 中国大陆,文牧野,"['剧情', '喜剧']", 汉语普通话 / 英语 / 上海话 / 印地语,https://movie.douban.com/subject/26752088/,2018-07-05(中国大陆),117分钟,我不是药神,1529042,"['韩家女', '钟伟', '文牧野']"
4,"['柊瑠美', '入野自由', '夏木真理', '菅原文太', '中村彰男', '玉井夕海', '神木隆之介', '内藤刚志', '泽口靖子', '我修院达也', '大泉洋', '小林郁夫', '上条恒彦', '小野武彦']",9.4, 日本,宫崎骏,"['剧情', '动画', '奇幻']", 日语,https://movie.douban.com/subject/1291561/,2019-06-21(中国大陆),125分钟,千与千寻 千と千尋の神隠し,1636148,['宫崎骏']
5,"['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫', '迈克·哈顿', 'P·J·伯恩', '乔·柯蒂斯', '玛姬·尼克松', '冯·刘易斯', '乔恩·索特兰', '唐·斯达克', '安东尼·曼加诺', '保罗·斯隆', '珍娜·劳伦索', '肯尼斯·以色列', '伊克博·塞巴', '尼克·瓦莱隆加', '大卫·安', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·巴特斯·布拉德福德', '格拉伦·布莱恩特·班克斯', '汤姆·维图', '夏恩·帕特洛', '丹尼斯·W·霍尔', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', '乔恩·迈克尔·戴维斯', '布莱恩·库瑞', '托尼亚·马尔多纳多']",8.9, 美国,彼得·法雷里,"['剧情', '喜剧', '传记']", 英语 / 意大利语 / 俄语 / 德语,https://movie.douban.com/subject/27060077/,2019-03-01(中国大陆),130分钟,绿皮书 Green Book,1109388,"['尼克·瓦莱隆加', '布莱恩·库瑞', '彼得·法雷里']"
6,"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨', '弗兰西丝·费舍', '格劳瑞亚·斯图尔特', '比尔·帕克斯顿', '伯纳德·希尔', '大卫·沃纳', '维克多·加博', '乔纳森·海德', '苏茜·爱米斯', '刘易斯·阿伯内西', '尼古拉斯·卡斯柯恩', '阿那托利·萨加洛维奇', '丹尼·努齐', '杰森·贝瑞', '伊万·斯图尔特', '艾恩·格拉法德', '乔纳森·菲利普斯', '马克·林赛·查普曼', '理查德·格拉翰', '保罗·布赖特威尔', '艾瑞克·布里登', '夏洛特·查顿', '博纳德·福克斯', '迈克尔·英塞恩', '法妮·布雷特', '马丁·贾维斯', '罗莎琳·艾尔斯', '罗切尔·罗斯', '乔纳森·伊万斯-琼斯', '西蒙·克雷恩', '爱德华德·弗莱彻', '斯科特·安德森', '马丁·伊斯特', '克雷格·凯利', '格雷戈里·库克', '利亚姆·图伊', '詹姆斯·兰开斯特', '艾尔莎·瑞雯', '卢·帕尔特', '泰瑞·佛瑞斯塔', '凯文·德·拉·诺伊']",9.4, 美国,詹姆斯·卡梅隆,"['剧情', '爱情', '灾难']", 英语 / 意大利语 / 德语 / 俄语,https://movie.douban.com/subject/1292722/,1998-04-03(中国大陆),194分钟,泰坦尼克号 Titanic,1527182,['詹姆斯·卡梅隆']
7,"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮', '张珈铭', '杨卫']",8.5, 中国大陆,饺子,"['剧情', '喜剧', '动画', '奇幻']", 汉语普通话,https://movie.douban.com/subject/26794435/,2019-07-26(中国大陆),110分钟,哪吒之魔童降世,1455810,"['饺子', '易巧', '魏芸芸']"
8,"['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫', '芮妮·维克托', '杰米·卡米尔', '阿方索·阿雷奥', '赫伯特·西古恩萨', '加布里埃尔·伊格莱西亚斯', '隆巴多·博伊尔', '安娜·奥菲丽亚·莫吉亚', '娜塔丽·科尔多瓦', '赛琳娜·露娜', '爱德华·詹姆斯·奥莫斯', '索菲亚·伊斯皮诺萨', '卡拉·梅迪纳', '黛娅娜·欧特里', '路易斯·瓦尔德斯', '布兰卡·阿拉切利', '萨尔瓦多·雷耶斯', '切奇·马林', '奥克塔维·索利斯', '约翰·拉岑贝格']",9.1, 美国,李·昂克里奇,"['喜剧', '动画', '音乐', '奇幻']", 英语 / 西班牙语,https://movie.douban.com/subject/20495023/,2017-11-24(中国大陆),105分钟,寻梦环游记 Coco,1103020,"['阿德里安·莫利纳', '马修·奥尔德里奇', '李·昂克里奇', '詹森·卡茨']"
9,"['周冬雨', '易烊千玺', '尹昉', '周也', '吴越', '黄觉', '张艺凡', '张耀', '张歆怡', '赵润南', '郜玄铭', '谢欣桐', '刘然', '何廖侣匀', '胖虎', '罗俊林']",8.3, 中国大陆,曾国祥,"['剧情', '爱情', '犯罪']", 汉语普通话,https://movie.douban.com/subject/30166972/,2019-10-25(中国大陆),135分钟,少年的你,1088622,"['林咏琛', '李媛', '许伊萌']"
10,"['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃', '塞伊拉·沃西', '苏哈妮·巴特纳格尔', '里特维克·萨霍里', '吉里什·库卡尼']",9, 印度,涅提·蒂瓦里,"['剧情', '家庭', '传记', '运动']", 印地语,https://movie.douban.com/subject/26387939/,2017-05-05(中国大陆),161分钟(印度),摔跤吧！爸爸 Dangal,1144149,"['比于什·古普塔', '施热亚·简', '尼基尔·麦罗特拉', '涅提·蒂瓦里']"
11,"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗', '彼得·阿佩尔', '迈克尔·巴达鲁科', '艾伦·格里尼', '伊丽莎白·瑞根', '卡尔·马图斯维奇', '弗兰克·赛格', '麦温', '乔治·马丁', '罗伯特·拉萨多', '亚当·布斯奇', '马里奥·托迪斯科', '萨米·纳塞利']",9.4, 法国 / 美国,吕克·贝松,"['剧情', '动作', '犯罪']", 英语 / 意大利语 / 法语,https://movie.douban.com/subject/1295644/,1994-09-14(法国),110分钟(剧场版),这个杀手不太冷 Léon,1764129,['吕克·贝松']
12,"['张国荣', '张丰毅', '巩俐', '葛优', '英达', '蒋雯丽', '吴大维', '吕齐', '雷汉', '尹治', '马明威', '费振翔', '智一桐', '李春', '赵海龙', '李丹', '童弟', '沈慧芬', '黄斐', '徐杰']",9.6, 中国大陆 / 中国香港,陈凯歌,"['剧情', '爱情', '同性']", 汉语普通话,https://movie.douban.com/subject/1291546/,1993-01-01(中国香港),171分钟,霸王别姬,1545027,"['芦苇', '李碧华']"
13,"['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼', '佩内洛普·安·米勒', '艾丹·奎因', '凯文·韦斯曼', '摩根·莉莉', '瑞安·克茨纳', '吉莉安·普法夫', '迈克尔·博萨', '博·勒纳', '杰奎琳·埃沃拉', '泰勒·格鲁秀斯', '艾莉·布莱恩特', '阿什莉·泰勒', '伊瑟尔·布罗萨德', '科迪·霍恩', '迈克尔·博尔顿', '肖恩·哈珀', '斯戴芬妮·斯考特', '帕特丽夏·伦茨', '马修·戈尔德', '阿罗拉·凯瑟琳·史密斯', '凯莉·唐纳利', '索菲亚·撒高', '米歇尔·梅斯默', 'Scott Joel Gizicki', 'Rod Myers', '卡拉 帕西托', 'Katelyn Pacitto']",9.1, 美国,罗伯·莱纳,"['剧情', '喜剧', '爱情']", 英语,https://movie.douban.com/subject/3319755/,2010-07-26(好莱坞首映),90分钟,怦然心动 Flipped,1301037,"['罗伯·莱纳', '安德鲁·沙因曼', '文德琳·范·德拉安南']"
14,"['阿米尔·汗', '卡琳娜·卡普尔', '马达范', '沙尔曼·乔希', '奥米·瓦依达', '博曼·伊拉尼', '莫娜·辛格', '拉杰夫·拉宾德拉纳特安']",9.2, 印度,拉吉库马尔·希拉尼,"['剧情', '喜剧', '爱情', '歌舞']", 印地语 / 乌尔都语 / 英语,https://movie.douban.com/subject/3793023/,2011-12-08(中国大陆),171分钟(印度),三傻大闹宝莱坞 3 Idiots,1394830,"['维德胡·维诺德·乔普拉', '拉吉库马尔·希拉尼', '阿希贾特·乔希']"
15,"['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌', '悠木碧', '岛崎信长', '石川界人', '谷花音', '寺杣昌纪', '大原沙耶香', '井上和彦', '茶风林', '加藤有花', '花泽香菜', '寺崎裕香']",8.4, 日本,新海诚,"['剧情', '爱情', '动画']", 日语,https://movie.douban.com/subject/26683290/,2016-12-02(中国大陆),106分钟,你的名字。 君の名は。,1004620,['新海诚']
16,"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾伦·佩吉', '汤姆·哈迪', '渡边谦', '迪利普·劳', '基里安·墨菲', '汤姆·贝伦杰', '玛丽昂·歌迪亚', '皮特·波斯尔思韦特', '迈克尔·凯恩', '卢卡斯·哈斯', '李太力', '克莱尔·吉尔蕾', '马格努斯·诺兰', '泰勒·吉蕾', '乔纳森·吉尔', '水源士郎', '冈本玉二', '厄尔·卡梅伦', '瑞恩·海沃德', '米兰达·诺兰', '拉什·费加', '蒂姆·科勒赫', '妲露拉·莱莉']",9.3, 美国 / 英国,克里斯托弗·诺兰,"['剧情', '科幻', '悬疑', '冒险']", 英语 / 日语 / 法语,https://movie.douban.com/subject/3541415/,2010-09-01(中国大陆),148分钟,盗梦空间 Inception,1502607,['克里斯托弗·诺兰']
17,"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩']",9.3, 美国,彼得·威尔,"['剧情', '科幻']", 英语,https://movie.douban.com/subject/1292064/,1998-06-05(美国),103分钟,楚门的世界 The Truman Show,1125857,['安德鲁·尼科尔']
18,"['屈楚萧', '吴京', '李光洁', '吴孟达', '赵今麦', '隋凯', '屈菁菁', '张亦驰', '杨皓宇', '阿尔卡基·沙罗格拉茨基', '李虹辰', '杨轶', '姜志刚', '张欢', '雷佳音', '宁浩', '刘慈欣', '郭京飞', '王智', '张子贤', '路阳', '张宁', '张小北', '饶晓志', '陶珞依', '吴晓亮', '龚格尔', '郭帆']",7.9, 中国大陆,郭帆,"['科幻', '冒险', '灾难']", 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语,https://movie.douban.com/subject/26266893/,2019-02-05(中国大陆),125分钟,流浪地球,1550959,"['龚格尔', '严东旭', '郭帆', '叶俊策', '杨治学', '吴荑', '叶濡畅', '沈晶晶', '刘慈欣']"
19,"['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里', '皮特·沃恩', '尼尔·奥布赖恩', '阿尔贝托·巴斯克斯', '加布里埃莱·拉维亚', '科里·巴克', '西德尼·科尔', 'Luigi De Luca', '尼古拉·迪·平托', '费米·依鲁福祖', '伊斯顿·盖奇', '凯文·麦克纳利', '布莱恩·普林格', '沙拉·鲁宾', '希思科特·威廉姆斯', '阿妮妲·扎格利亚', '安吉洛·迪洛雷塔']",9.3, 意大利,朱塞佩·托纳多雷,"['剧情', '音乐']", 英语 / 法语 / 意大利语,https://movie.douban.com/subject/1292001/,2019-11-15(中国大陆),165分钟,海上钢琴师 La leggenda del pianista sull'oceano,1253150,"['亚利桑德罗·巴里克', '朱塞佩·托纳多雷']"
0,"['姜文', '葛优', '周润发', '刘嘉玲', '陈坤', '张默', '姜武', '周韵', '廖凡', '姚橹', '邵兵', '苗圃', '冯小刚', '胡军', '马珂', '白冰', '杜奕衡', '李静', '胡明', '危笑', '杨奇雨', '赵铭']",8.8, 中国大陆 / 中国香港,姜文,"['剧情', '喜剧', '动作', '西部']", 汉语普通话 / 四川话 / 山西话,https://movie.douban.com/subject/3742360/,2010-12-16(中国大陆),132分钟,让子弹飞,1174344,"['朱苏进', '述平', '姜文', '郭俊立', '危笑', '李不空', '马识途']"
1,"['黄渤', '张译', '韩昊霖', '杜江', '葛优', '刘昊然', '宋佳', '王千源', '任素汐', '吴京', '朱一龙', '王东', '陈飞宇', '佟丽娅', '欧豪', '张嘉译', '惠英红', '龚蓓苾', '田壮壮', '韩东君', '辛柏青', '周冬雨', '任达华', '江珊', '王砚辉', '耿乐', '姜武', '梁静', '佟大为', '魏晨', '胡军', '王天辰', '彭昱畅', '罗海琼', '郭丞', '周依然', '樊雨洁', '刘涛', '马伊琍', '张建亚', '徐峥', '王洛勇', '高亚麟', '王道铁', '程禹森', '马书良', '景海鹏', '陈冬', '雷佳音', '张子枫', '陶虹', '郭京飞', '袁文康', '贾晨飞', '邵汶', '张芝华', '段博文', '郎平']",7.7, 中国大陆,陈凯歌,['剧情'], 汉语普通话,https://movie.douban.com/subject/32659890/,2019-09-30(中国大陆),155分钟,我和我的祖国,756660,"['文宁', '修梦迪', '薛晓路', '何可可', '徐峥', '管虎', '张冀']"
2,"['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛', '莫文蔚', '罗家英', '刘镇伟', '陆树铭', '李健仁']",9.2, 中国香港 / 中国大陆,刘镇伟,"['喜剧', '爱情', '奇幻', '古装']", 粤语 / 汉语普通话,https://movie.douban.com/subject/1292213/,1995-02-04(中国香港),95分钟,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,1103600,['刘镇伟']
3,"['孔侑', '郑有美', '马东锡', '金秀安', '金义城', '崔宇植', '安昭熙', '崔奎华', '郑锡勇', '艺秀晶', '朴明申', '张赫镇', '禹都临', '沈恩京']",8.5, 韩国,延尚昊,"['动作', '惊悚', '灾难']", 韩语,https://movie.douban.com/subject/25986180/,2016-05-13(戛纳电影节),118分钟,釜山行 ???,826213,['延尚昊']
4,"['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦', '丹·卡斯泰兰尼塔', '柯特·富勒', '塔卡尤·费舍尔', '凯文·韦斯特', '乔治·张', '戴维·迈克尔·西尔弗曼', '多米尼克·博夫', '杰弗·卡伦', '乔伊芙·拉文', '斯科特·克拉斯']",9.1, 美国,加布里埃莱·穆奇诺,"['剧情', '家庭', '传记']", 英语 / 粤语,https://movie.douban.com/subject/1849031/,2008-01-17(中国大陆),117分钟,当幸福来敲门 The Pursuit of Happyness,1115251,['斯蒂夫·康拉德']
5,"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩', '马特·达蒙', '麦肯吉·弗依', '蒂莫西·柴勒梅德', '艾伦·伯斯汀', '约翰·利思戈', '韦斯·本特利', '大卫·吉亚西', '比尔·欧文', '托弗·戈瑞斯', '科莱特·沃夫', '弗朗西斯·X·麦卡蒂', '安德鲁·博尔巴', '乔什·斯图沃特', '莱雅·卡里恩斯', '利亚姆·迪金森', '杰夫·赫普内尔', '伊莱耶斯·加贝尔', '布鲁克·史密斯', '大卫·奥伊罗', '威廉姆·德瓦内', '拉什·费加', '格里芬·弗雷泽', '弗洛拉·诺兰']",9.3, 美国 / 英国 / 加拿大 / 冰岛,克里斯托弗·诺兰,"['剧情', '科幻', '冒险']", 英语,https://movie.douban.com/subject/1889243/,2014-11-12(中国大陆),169分钟,星际穿越 Interstellar,1125867,"['乔纳森·诺兰', '克里斯托弗·诺兰']"
6,"['日高法子', '坂本千夏', '糸井重里', '岛本须美', '北林谷荣', '高木均', '雨笠利幸', '丸山裕子', '广濑正志', '鹫尾真知子', '铃木玲子', '千叶繁', '龙田直树', '鳕子', '西村朋纮', '石田光子', '神代知衣', '中村大树', '水谷优子', '平松晶子', '大谷育江']",9.2, 日本,宫崎骏,"['动画', '奇幻', '冒险']", 日语,https://movie.douban.com/subject/1291560/,2018-12-14(中国大陆),86分钟,龙猫 となりのトトロ,932245,['宫崎骏']
7,"['宋康昊', '李善均', '赵汝贞', '崔宇植', '朴素丹', '李静恩', '张慧珍', '郑知晓', '朴明勋', '朴叙俊', '朴根祿', '郑贤俊', '朴孝新', '安德烈亚斯·弗龙克']",8.7, 韩国,奉俊昊,"['剧情', '喜剧']", 韩语 / 英语,https://movie.douban.com/subject/27010768/,2019-05-21(戛纳电影节),132分钟,寄生虫 ???,989787,"['奉俊昊', '韩进元']"
8,"['赞恩·阿尔·拉菲亚', '约丹诺斯·希费罗', '博鲁瓦蒂夫·特雷杰·班科尔', '卡萨尔·艾尔·哈达德', '法迪·尤瑟夫', '海塔·塞德拉·伊扎姆', '阿拉·乔什涅', '娜丁·拉巴基', '埃利亚斯·库利', '努尔·艾尔·侯赛尼']",9.1, 黎巴嫩 / 法国 / 美国,娜丁·拉巴基,['剧情'], 阿拉伯语 / 阿姆哈拉语,https://movie.douban.com/subject/30170448/,2019-04-29(中国大陆),126分钟,何以为家 ????????,680954,"['娜丁·拉巴基', '吉哈德·霍加里', '米歇尔·凯斯沃尼', '乔治斯·哈巴兹', '哈立德·穆扎纳']"
9,"['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利', '田川洋行', '杰森·亚历山大', '罗伯特·卡普荣']",9.4, 美国 / 英国,拉斯·霍尔斯道姆,['剧情'], 英语 / 日语,https://movie.douban.com/subject/3011091/,2009-06-13(西雅图电影节),93分钟,忠犬八公的故事 Hachi: A Dog's Tale,1045718,"['斯蒂芬·P·林赛', '新藤兼人']"
10,"['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '德尔罗伊·林多', '杰罗姆·兰福特', '约翰·拉岑贝格', '大卫·卡耶', '艾丽·道克特', '杰里米·利里', '米凯·麦高万', '丹尼·曼恩', '唐纳德·富利洛夫', '杰斯·哈梅尔', '乔什·库雷', '彼特·道格特']",9, 美国,彼特·道格特,"['剧情', '喜剧', '动画', '冒险']", 英语,https://movie.douban.com/subject/2129039/,2009-08-04(中国大陆),96分钟,飞屋环游记 Up,977714,"['彼特·道格特', '鲍勃·彼德森', '汤姆·麦卡锡']"
11,"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特', '森崎温', '赵家正', '西蒙·佩吉', 'T·J·米勒', '汉娜·乔恩-卡门', '拉尔夫·伊内森', '苏珊·林奇', '克莱尔·希金斯', '劳伦斯·斯佩尔曼', '佩蒂塔·维克斯', '艾萨克·安德鲁斯']",8.7, 美国,史蒂文·斯皮尔伯格,"['动作', '科幻', '冒险']", 英语 / 日语 / 汉语普通话,https://movie.douban.com/subject/4920389/,2018-03-30(中国大陆),140分钟,头号玩家 Ready Player One,1030529,"['扎克·佩恩', '恩斯特·克莱恩']"
12,"['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚', '江约诚', '陆树铭', '刘镇伟', '朱茵', '李健仁']",9, 中国香港 / 中国大陆,刘镇伟,"['喜剧', '爱情', '奇幻', '古装']", 粤语 / 汉语普通话,https://movie.douban.com/subject/1299398/,1995-01-21(中国香港),87分钟,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,882986,"['刘镇伟', '吴承恩']"
13,"['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔', '让-巴蒂斯特·莫尼耶', '马科森斯·珀林', '格雷戈里·加迪诺尔', '托马斯·布伦门塔尔', '西里尔·伯尔尼科特', '西蒙·法戈特', '泰奥杜尔·卡雷-卡赛尼', '菲利普·杜·詹纳兰德', '埃里克·德斯玛莱茨', '狄迪尔·弗拉蒙', '雅克·贝汉']",9.3, 法国 / 瑞士 / 德国,克里斯托夫·巴拉蒂,"['剧情', '音乐']", 法语,https://movie.douban.com/subject/1291549/,2004-10-16(中国大陆),97分钟,放牛班的春天 Les choristes,970367,"['乔治·沙普罗', '勒·惠勒', '诺埃-诺尔', '克里斯托夫·巴拉蒂', '菲利普·洛佩斯-屈瓦尔']"
14,"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",8.3, 印度,斯里兰姆·拉格万,"['喜剧', '悬疑', '惊悚', '犯罪']", 印地语 / 英语,https://movie.douban.com/subject/30334073/,2019-04-03(中国大陆),139分钟,调音师 Andhadhun,689604,"['阿里吉特·比沙什', '约戈什·查德卡尔', '斯里兰姆·拉格万', '赫曼斯·饶', '普哈·拉达·瑟蒂', '奥利维耶·特雷内 ']"
15,"['莱昂纳多·迪卡普里奥', '汤姆·汉克斯', '克里斯托弗·沃肯', '马丁·辛', '艾米·亚当斯', '詹妮弗·加纳', '伊丽莎白·班克斯', '纳塔莉·贝伊', '詹姆斯·布洛林', '艾伦·旁派', '南希·利内翰', '布莱恩·豪威 ', '弗兰克·约翰·休斯', '克里斯·埃里斯']",9, 美国 / 加拿大,史蒂文·斯皮尔伯格,"['剧情', '传记', '犯罪']", 英语 / 法语,https://movie.douban.com/subject/1305487/,2003-04-11(中国大陆),141 分钟,猫鼠游戏 Catch Me If You Can,591339,['杰夫·内桑森']
16,"['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗', 'MacInTalk', '约翰·拉岑贝格', '凯茜·纳基麦', '泰迪·牛顿', '鲍伯·伯根', '洛丽·理查德森', '吉姆·瓦德', '彼特·道格特', '安德鲁·斯坦顿', '杰夫·皮金', '约翰·齐甘', '米凯·麦高万', '雪莉·琳恩', '克莱特·惠特克', '唐纳德·富利洛夫', '罗里·艾伦', '杰斯·哈梅尔', '拉瑞恩·纽曼', '扬·拉布森', '保罗·伊丁']",9.3, 美国,安德鲁·斯坦顿,"['科幻', '动画', '冒险']", 英语,https://movie.douban.com/subject/2131459/,2008-06-27(美国),98分钟,机器人总动员 WALL·E,988477,"['安德鲁·斯坦顿', '吉姆·里尔顿', '彼特·道格特']"
17,"['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪', '梁家仁', '苑琼丹', '梁荣忠', '黄一山', '黄霑', '吴镇宇', '刘家辉', '蓝洁瑛', '谷德昭', '陈辉虹', '李健仁', '宣萱', '温翠苹']",8.6, 中国香港,李力持,"['喜剧', '爱情', '古装']", 粤语,https://movie.douban.com/subject/1306249/,1993-07-01(中国香港),102 分钟,唐伯虎点秋香 唐伯虎點秋香,742723,"['李力持', '谷德昭', '陈文强']"
18,"['丹尼尔·克雷格', '安娜·德·阿玛斯', '克里斯·埃文斯', '杰米·李·柯蒂斯', '迈克尔·珊农', '唐·约翰逊', '托妮·科莱特', '勒凯斯·斯坦菲尔德', '克里斯托弗·普卢默', '凯瑟琳·兰福德', '杰登·马泰尔', '瑞琪·琳德赫姆', '艾迪·帕特森', '弗兰克·奥兹', 'K·卡兰', '诺阿·西甘', 'M·埃梅特·沃尔什', '玛琳娜·福特', '劳尔·卡斯提洛', '雪莉·罗德里格斯', '约瑟夫·高登-莱维特', '加布里埃尔·洛莱斯']",8.2, 美国,莱恩·约翰逊,"['剧情', '喜剧', '悬疑', '犯罪']", 英语 / 西班牙语,https://movie.douban.com/subject/30318116/,2019-11-29(中国大陆),130分钟,利刃出鞘 Knives Out,540092,['莱恩·约翰逊']
19,"['醍醐虎汰朗', '森七菜', '小栗旬', '本田翼', '倍赏千惠子', '吉柳咲良', '平泉成', '梶裕贵', '木村良平', '柴田秀胜', '野泽雅子', '花泽香菜', '佐仓绫音']",7.1, 日本,新海诚,"['爱情', '动画', '奇幻']", 日语,https://movie.douban.com/subject/30402296/,2019-11-01(中国大陆),111分钟,天气之子 天気の子,205210,['新海诚']
0,"['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文', '陈慧琳', '陈冠希', '余文乐', '杜汶泽', '林家栋', '萧亚轩']",9.2, 中国香港,刘伟强,"['剧情', '悬疑', '犯罪']", 粤语,https://movie.douban.com/subject/1307914/,2002-12-12(中国香港),101分钟,无间道 無間道,900788,"['麦兆辉', '庄文强']"
